TSI NanoScan SMPS Model 3910
Mode,Single
Serial Number,3910131505
Last Calibrated,2016/01/11


File Index,1
Sample #,1
Date,2022/11/29
Time,16:13:14
Firmware Version,1.2
Particle Density (g/cm3),1.0300
Diameter Setting (nm),20,

Time Elapsed (s),Number (#/cm3),Status
1,74.4000,No errors
2,76.5600,No errors
3,84.0000,No errors
4,83.0400,No errors
5,76.8000,No errors
6,76.0800,No errors
7,80.1600,No errors
8,80.4000,No errors
9,80.1600,No errors
10,85.9200,No errors
11,73.4400,No errors
12,85.9200,No errors
13,85.6800,No errors
14,80.4000,No errors
15,79.2000,No errors
16,79.2000,No errors
17,78.2400,No errors
18,81.3600,No errors
19,82.0800,No errors
20,85.2000,No errors
21,77.7600,No errors
22,80.1600,No errors
23,74.8800,No errors
24,83.2800,No errors
25,84.0000,No errors
26,84.0000,No errors
27,85.6800,No errors
28,84.0000,No errors
29,80.8800,No errors
30,80.1600,No errors
31,77.0400,No errors
32,80.1600,No errors
33,79.9200,No errors
34,83.2800,No errors
35,73.9200,No errors
36,79.2000,No errors
37,75.8400,No errors
38,73.9200,No errors
39,80.1600,No errors
40,82.0800,No errors
41,77.7600,No errors
42,82.5600,No errors
43,81.8400,No errors
44,74.6400,No errors
45,80.8800,No errors
46,79.4400,No errors
47,85.4400,No errors
48,90.7200,No errors
49,77.7600,No errors
50,75.6000,No errors
51,82.0800,No errors
52,72.0000,No errors
53,87.3600,No errors
54,72.4800,No errors
55,76.8000,No errors
56,75.6000,No errors
57,72.7200,No errors
58,69.6000,No errors
59,78.2400,No errors
60,82.0800,No errors


File Index,1
Sample #,2
Date,2022/11/29
Time,16:14:51
Firmware Version,1.2
Particle Density (g/cm3),1.0300
Diameter Setting (nm),20,

Time Elapsed (s),Number (#/cm3),Status
1,42.9600,No errors
2,38.6400,No errors
3,32.1600,No errors
4,34.5600,No errors
5,34.8000,No errors
6,36.9600,No errors
7,32.8800,No errors
8,38.8800,No errors
9,34.8000,No errors
10,34.8000,No errors
11,41.7600,No errors
12,39.3600,No errors
13,32.1600,No errors
14,32.1600,No errors
15,39.8400,No errors
16,37.4400,No errors
17,33.8400,No errors
18,35.0400,No errors
19,35.7600,No errors
20,35.0400,No errors
21,35.2800,No errors
22,37.4400,No errors
23,36.4800,No errors
24,36.7200,No errors
25,41.7600,No errors
26,31.6800,No errors
27,38.6400,No errors
28,32.4000,No errors
29,32.4000,No errors
30,42.7200,No errors
31,33.3600,No errors
32,38.6400,No errors
33,35.5200,No errors
34,38.4000,No errors
35,39.3600,No errors
36,38.1600,No errors
37,33.6000,No errors
38,32.6400,No errors
39,36.9600,No errors
40,30.7200,No errors
41,39.6000,No errors
42,35.2800,No errors
43,36.2400,No errors
44,40.3200,No errors
45,33.3600,No errors
46,39.1200,No errors
47,31.9200,No errors
48,35.2800,No errors
49,35.5200,No errors
50,32.8800,No errors
51,38.1600,No errors
52,37.4400,No errors
53,39.6000,No errors
54,37.9200,No errors
55,33.1200,No errors
56,34.0800,No errors
57,39.6000,No errors
58,36.0000,No errors
59,30.4800,No errors
60,37.6800,No errors


File Index,1
Sample #,3
Date,2022/11/29
Time,16:16:36
Firmware Version,1.2
Particle Density (g/cm3),1.0300
Diameter Setting (nm),40,

Time Elapsed (s),Number (#/cm3),Status
1,1587.8400,No errors
2,1587.1200,No errors
3,1615.2000,No errors
4,1631.5200,No errors
5,1619.2800,No errors
6,1609.4399,No errors
7,1618.8000,No errors
8,1585.2000,No errors
9,1633.9200,No errors
10,1627.9200,No errors
11,1623.8400,No errors
12,1607.5200,No errors
13,1596.7200,No errors
14,1659.8400,No errors
15,1622.4000,No errors
16,1683.6000,No errors
17,1628.8800,No errors
18,1612.3199,No errors
19,1602.4800,No errors
20,1669.9200,No errors
21,1650.4800,No errors
22,1611.3600,No errors
23,1668.2400,No errors
24,1650.4800,No errors
25,1682.8800,No errors
26,1636.3199,No errors
27,1650.7200,No errors
28,1653.8400,No errors
29,1647.6000,No errors
30,1627.4399,No errors
31,1645.2000,No errors
32,1637.0400,No errors
33,1621.2000,No errors
34,1636.5601,No errors
35,1637.2800,No errors
36,1646.8800,No errors
37,1656.2400,No errors
38,1667.0400,No errors
39,1715.2800,No errors
40,1648.0800,No errors
41,1629.6000,No errors
42,1665.3600,No errors
43,1645.2000,No errors
44,1628.4000,No errors
45,1652.6400,No errors
46,1701.8400,No errors
47,1618.3199,No errors
48,1654.3199,No errors
49,1680.7200,No errors
50,1673.5200,No errors
51,1643.2800,No errors
52,1636.5601,No errors
53,1657.9200,No errors
54,1625.2800,No errors
55,1655.0400,No errors
56,1643.2800,No errors
57,1633.4399,No errors
58,1636.8000,No errors
59,1657.4399,No errors
60,1635.1200,No errors


File Index,1
Sample #,4
Date,2022/11/29
Time,16:18:05
Firmware Version,1.2
Particle Density (g/cm3),1.0300
Diameter Setting (nm),40,

Time Elapsed (s),Number (#/cm3),Status
1,640.3200,No errors
2,643.6800,No errors
3,651.8400,No errors
4,656.6400,No errors
5,649.4400,No errors
6,663.1200,No errors
7,620.4000,No errors
8,635.0400,No errors
9,656.6400,No errors
10,647.2800,No errors
11,654.9600,No errors
12,646.0800,No errors
13,631.2000,No errors
14,621.1200,No errors
15,624.0000,No errors
16,615.1200,No errors
17,635.7600,No errors
18,625.4400,No errors
19,628.0800,No errors
20,635.2800,No errors
21,624.4800,No errors
22,627.6000,No errors
23,631.4400,No errors
24,625.4400,No errors
25,644.1600,No errors
26,642.0000,No errors
27,643.2000,No errors
28,642.9600,No errors
29,615.3600,No errors
30,617.5200,No errors
31,641.0400,No errors
32,638.4000,No errors
33,619.4400,No errors
34,645.1200,No errors
35,650.8800,No errors
36,605.0400,No errors
37,618.9600,No errors
38,632.8800,No errors
39,641.2800,No errors
40,620.4000,No errors
41,637.4400,No errors
42,626.8800,No errors
43,615.6000,No errors
44,619.2000,No errors
45,625.2000,No errors
46,602.6400,No errors
47,623.0400,No errors
48,606.9600,No errors
49,632.6400,No errors
50,645.6000,No errors
51,628.8000,No errors
52,621.8400,No errors
53,630.4800,No errors
54,638.1600,No errors
55,635.2800,No errors
56,631.4400,No errors
57,606.7200,No errors
58,632.6400,No errors
59,636.0000,No errors
60,643.9200,No errors


File Index,1
Sample #,5
Date,2022/11/29
Time,16:19:42
Firmware Version,1.2
Particle Density (g/cm3),1.0300
Diameter Setting (nm),60,

Time Elapsed (s),Number (#/cm3),Status
1,1571.2800,No errors
2,1544.8800,No errors
3,1551.6000,No errors
4,1585.6801,No errors
5,1590.7200,No errors
6,1554.7200,No errors
7,1586.6400,No errors
8,1618.8000,No errors
9,1554.7200,No errors
10,1558.5601,No errors
11,1574.8800,No errors
12,1563.8400,No errors
13,1608.4800,No errors
14,1569.3600,No errors
15,1571.2800,No errors
16,1559.5200,No errors
17,1574.6400,No errors
18,1612.3199,No errors
19,1564.5601,No errors
20,1576.8000,No errors
21,1591.2000,No errors
22,1603.2000,No errors
23,1614.7200,No errors
24,1620.9600,No errors
25,1585.9200,No errors
26,1605.3600,No errors
27,1588.8000,No errors
28,1614.7200,No errors
29,1650.9600,No errors
30,1583.0400,No errors
31,1600.3199,No errors
32,1612.3199,No errors
33,1644.9600,No errors
34,1615.4399,No errors
35,1577.7600,No errors
36,1584.9600,No errors
37,1604.4000,No errors
38,1594.8000,No errors
39,1605.3600,No errors
40,1590.2400,No errors
41,1617.6000,No errors
42,1589.7600,No errors
43,1613.0400,No errors
44,1623.3600,No errors
45,1627.6801,No errors
46,1601.0400,No errors
47,1583.5200,No errors
48,1566.0000,No errors
49,1623.8400,No errors
50,1593.1200,No errors
51,1617.8400,No errors
52,1575.6000,No errors
53,1608.9600,No errors
54,1582.8000,No errors
55,1564.8000,No errors
56,1596.4800,No errors
